NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
644742,2,1,1,0,0,0,38355,5785,930,5724,1080,0,526,532,0,211,2053,317,1680,62,0,3690,1909,216,859,499,30,416,57,4,1,1,1
644752,1,0,1,0,0,0,10315,1885,645,1967,204,0,0,0,0,0,312,0,600,0,0,35,1423,630,114,163,0,832,66,3,1,2,8
644762,1,1,0,0,0,0,7782,1118,30,2970,212,18,0,10,0,0,69,0,137,0,99,1438,360,15,0,0,0,0,70,2,1,4,8
644772,2,0,2,0,0,0,16084,2197,395,3200,730,20,0,0,0,0,1481,276,455,0,0,1026,526,21,0,90,10,0,45,3,2,1,7
644782,2,1,1,0,0,0,11788,2457,420,2980,300,0,0,0,0,0,473,58,150,0,114,1336,828,94,250,359,0,0,72,5,1,2,1
644792,2,1,1,0,0,0,20005,3637,301,2528,794,12,95,0,0,40,451,0,691,0,0,2688,655,323,0,166,0,741,78,1,1,2,1
644802,3,1,1,1,0,0,70859,7663,2341,7796,495,1437,0,0,0,210,1781,105,1185,549,0,1705,4277,2880,247,340,2996,0,47,6,1,1,3
644822,4,1,1,1,0,1,21706,2405,422,6567,453,75,204,48,0,27,902,30,950,0,0,1490,1878,712,340,8,0,130,26,3,1,1,2
644842,1,0,1,0,0,0,11929,2174,200,3169,332,1,47,0,0,63,154,57,0,0,0,1950,345,19,0,108,0,767,64,4,1,1,8
644852,3,1,2,0,0,0,69816,7230,470,8767,941,941,300,0,200,110,970,0,1092,0,0,3855,4218,531,1117,715,2518,780,71,6,1,2,4
644872,2,1,0,1,0,0,6351,2457,72,1569,840,0,0,0,0,125,130,0,447,0,9,35,311,7,0,53,0,0,51,6,4,4,6
644882,1,0,1,0,0,0,27217,2290,1805,5962,573,420,823,0,0,0,2114,504,75,846,0,1383,2235,1072,100,122,0,0,66,3,1,2,8
